target_file,sha256,rows,valid_rows,invalid_rows,nonpositive_error_rows,exact_duplicate_rows,exact_duplicate_fraction,repeated_epoch_rows,repeated_epoch_fraction,conflicting_epoch_rows,reference_count,instrument_count,provenance_confounded,untraceable_rows,rv_full_span,rv_robust_90pct_span,full_to_robust_span_ratio,median_uncertainty,inference_ready
GJ_273_RV.csv,88ce7963637f8e113d6ce04200cf6bb3f3b1f2ba51bc91682becacc79b1070ad,507,507,0,0,0,0.0,62,0.1222879684418146,62,3,1,True,0,25631.2506019857,18441.32349225384,1.3898812963587968,1.16988759732224,False
GJ_3138_RV.csv,240540366b9e8140df9ddf32463afe141d227c3d8ddb1edd9318211901b90956,216,216,0,0,0,0.0,0,0.0,0,0,1,False,0,29.66822940359998,16.22349705002307,1.8287197459414455,2.7107703370626597,True
GJ_317_RV.csv,06c301e7c0398461b04b731e92f229dc6b814faf726451a80bcf7960e835b8fe,278,278,0,0,0,0.0,47,0.16906474820143885,47,3,1,True,0,88307.57082283549,88213.40390634467,1.0010674898861267,3.0031679776731304,False
GJ_3293_RV.csv,f413c99049d76b0e0acf545c463aa4350d3080cf9aab5555fc39d4a0a69e8781,217,217,0,0,0,0.0,0,0.0,0,0,1,False,0,45.825825187999726,27.5890210603593,1.6610167170390686,3.19573249602997,True
GJ_3470_RV.csv,efee9868c1650170914570e5eb84a1d66d902a09ab7fa821854a891aa9ff2476,217,217,0,0,0,0.0,0,0.0,0,2,1,True,0,28811.9015687309,25260.847999999998,1.1405753903721245,4.53309776988944,False
GJ_367_RV.csv,d37ff3569fe62d4662286f657bd6b4d7245395af11fabec982dce654491cd4de,402,402,0,0,0,0.0,0,0.0,0,0,1,False,0,2689.7509120426985,15.39369738815003,174.73066049182253,0.9862615097532375,False
GJ_393_RV.csv,c5d5f6c5f7381829fdde85ec73f8e8ddde16773644cfcae8a9803acb1a3b3891,336,336,0,0,0,0.0,80,0.23809523809523808,80,3,1,True,0,8601.506452825352,8487.803223712726,1.0133960727075961,1.132175901896205,False
GJ_411_RV.csv,7857f4509924935d811d6306c30a3539e7460eaab06dedc88180916215d6a227,1250,1250,0,0,0,0.0,602,0.4816,602,6,1,True,0,1083666.3,84624.76200000002,12.805546206440141,1.38,False
GJ_414_A_RV.csv,c453375e8a0e08062be7eae5d377b6bec9826b643a61191bb6bbcd31cc634089,575,575,0,0,0,0.0,82,0.1426086956521739,82,6,1,True,0,16292.37,24.552999999999997,663.5592391968396,1.9442,False
GJ_433_RV.csv,af34eb70432e8b90749faef90879094301788e5b0bb48acb3f8aa81e29164bba,320,320,0,0,0,0.0,40,0.125,40,3,1,True,0,18135.5834504946,18121.314583575262,1.0007874079363024,3.13,False
GJ_436_RV.csv,e8e48a4426995faca60c28f97aff6cd11b01979249049c4d91a8f375324eb673,1122,1122,0,0,0,0.0,367,0.3270944741532977,367,8,1,True,0,9853.80935962013,9828.70744079836,1.0025539389561617,2.16,False
GJ_480_RV.csv,0ce2c7198c765b2c6de53b03e2f2b1a0497fc275311317fee5bea8f96d46d188,209,209,0,0,0,0.0,132,0.631578947368421,132,5,1,True,0,4786.77,4170.132,1.1478701393624953,4.13,False
GJ_514_RV.csv,ff206b7569cab82efa5c8c91ad445908375c34ea706d6b8ea592bb7f35753d13,491,491,0,0,0,0.0,168,0.3421588594704684,168,5,1,True,0,999008.89,14700.96430722435,67.95533062474459,1.35,False
GJ_536_RV.csv,f08f77b7790611f5df52281fe2656b2d82fe6e53346ab3dec4d8caf42830ce63,341,341,0,0,0,0.0,64,0.187683284457478,64,2,1,True,0,25701.8827746829,25685.232657122797,1.0006482369765681,1.37538170640084,False
GJ_581_RV.csv,edb99755232f6f8199c18d7aea5aa1099c4f994e0613baf169cfa37cf9b5b30e,1309,1309,0,0,0,0.0,276,0.2108479755538579,276,5,1,True,0,9251.24,9226.88,1.002640112367344,1.54,False
GJ_625_RV.csv,dc9282620f176f92bee71d2c648f7196957225b2d0ba6874d23fbd48a9474478,195,195,0,0,0,0.0,178,0.9128205128205128,178,5,1,True,0,13027.51,12988.686,1.0029890629429337,2.272,False
GJ_649_RV.csv,7190f4a5f219d65a0bb2e3ae95327bd360ea6e1c24937262bc25d122de797927,272,272,0,0,0,0.0,128,0.47058823529411764,128,6,1,True,0,4479.6399408588895,4425.288500000001,1.0122820107341903,1.67,False
GJ_667_C_RV.csv,56799dd6dbb19481a4f7f0cb6856d6f046d963d97167792a772bce1f1b35b849,363,363,0,0,0,0.0,34,0.09366391184573003,34,2,1,True,0,6544.86980141386,6520.147071445156,1.00379174421954,1.3476024909254198,False
GJ_674_RV.csv,e18733ab399b31854359223f07eee7baf45cb2ea827f51f8bf7775d5d5ed9dd3,297,297,0,0,0,0.0,0,0.0,0,1,1,False,0,51.46402728400017,34.485595895141614,1.4923340005631307,1.02372456099955,True
GJ_676_A_RV.csv,838a33ffd6b0a20c0307b54381345a4495776ad571ab59b4507c19d433222b90,213,213,0,0,0,0.0,0,0.0,0,1,1,False,0,39383.076039595,39302.04779797588,1.0020616798909723,1.3067486379564102,True
GJ_687_RV.csv,ef90fb2cdd1e89cc6215ed6a0906233c68a2e9680ef9048f381115351ff250a5,474,474,0,0,0,0.0,330,0.6962025316455697,330,5,1,True,0,28753.68,28715.488,1.0013300139631964,1.32,False
GJ_720_A_RV.csv,da686c4e1f79f519cebd1dc3eb5f7b051516782d520f9bcf7c6fed4f89f3cfab,385,385,0,0,0,0.0,378,0.9818181818181818,378,3,1,True,0,1030868.41,432.14600000000064,2385.4632693580375,2.802,False
GJ_806_RV.csv,937448cc198d91a576db6e031d9a8248db9d2cfd027bd78d9fec4c82d20a6f2c,295,295,0,0,0,0.0,168,0.5694915254237288,168,6,1,True,0,24780.690000000002,24646.839,1.0054307572666825,2.3167,False
GJ_832_RV.csv,3d36c4ffd5dc0ef8d1e8731a30e984db9f53917834848ec489ca94b3a88f9876,221,221,0,0,0,0.0,0,0.0,0,1,1,False,0,13331.740169832901,13309.8361324233,1.0016457030117931,0.802681546744911,True
GJ_849_RV.csv,c83de5ab0c27c025d57256a08671d8d3f55ee840196debe9a96b1379aa845ed2,477,477,0,0,0,0.0,221,0.46331236897274636,221,4,1,True,0,15165.7787109812,15117.605597426798,1.0031865571068082,1.6339,False
GJ_86_RV.csv,cb05cba084bcbde8927eb779c624a48a1a0fb775407fdf7b5cc97cb115365888,277,277,0,0,0,0.0,0,0.0,0,4,1,True,0,60068.5,57334.9115807016,1.0476775553312008,3.4,False
GJ_876_RV.csv,9de44d98240ff8b578ecd06e1506d4332e12b361da23ea49abae022b8043ddef,1232,1232,0,0,0,0.0,380,0.30844155844155846,380,6,1,True,0,2039.66181365062,1738.3480323956064,1.17333340369119,2.0578000000000003,False
GJ_887_RV.csv,805dd9034f73e282c0ba87d64df89128136cbb2d3d42d1da64958e5d913e01fe,1072,1072,0,0,0,0.0,114,0.10634328358208955,114,2,1,True,0,9015.95219494259,8999.622455887356,1.001814491567316,0.731508236286551,False
GJ_96_RV.csv,d18959377cd54d767fc165552e499f130446a2994e0be077003d9fe956cc6cb8,248,248,0,0,0,0.0,202,0.8145161290322581,202,5,1,True,0,37942.32,37891.711500000005,1.0013356087122112,2.0265,False
GJ_9827_RV.csv,8f2e0ff4bcf17d1e3c9a616dbf79e05231af43c0c3da2082723a048eaaf97aeb,642,642,0,0,0,0.0,98,0.1526479750778816,98,0,1,False,0,100025023.06149425,19.364047540340835,5165501.832874227,1.311657326334205,False
Gl_686_RV.csv,26cb374fe479ee8225faf66669567d5312fb968e031623c8c90788930ff41114,532,532,0,0,0,0.0,354,0.6654135338345865,354,5,1,True,0,9552.650000000001,9466.869499999999,1.0090611262783333,2.0,False
HAT-P-2_RV.csv,8a0c6152dd228546e00b30c52385c4635e1f134a706ff81426fb30fbafa03c8d,363,363,0,0,0,0.0,8,0.02203856749311295,8,5,1,True,0,22997.87,21408.598000000005,1.0742352208210921,10.13,False
HD_10180_RV.csv,35c4d0f196d27b14c5672da20aa9dd1f9c14875fb17422b559aea1cb323e102e,342,342,0,0,0,0.0,0,0.0,0,1,1,False,0,880.0,20.064995252345398,43.85747362173618,0.6008212649118335,False
HD_104067_RV.csv,a35e068f978ae723145dde0a366f4f0e2d5e2ac31c766ad9bd6b58ddcf52462f,229,229,0,0,0,0.0,72,0.314410480349345,72,3,1,True,0,15450.88,15132.4020860974,1.0210460911685129,1.22,False
HD_106252_RV.csv,d25d43a37656a1d07b4e7a9833f2dfb2d42890b06ce333a0a47daf7aab75867d,209,209,0,0,0,0.0,82,0.3923444976076555,82,7,1,True,0,16246.7,15805.146,1.0279373566052474,9.947986469339003,False
HD_106315_RV.csv,c8add4a87a966466888aee2c6a3944fd5d3f031c1d666f8b4d91aa7f307bad0d,347,347,0,0,0,0.0,0,0.0,0,0,1,False,0,354.91801194871005,38.99482550532139,9.10166944843173,5.89617413121859,True
HD_10647_RV.csv,87d317a48a114ff1eab2ecc12bcc90e86894be47a9a375476e8fe06c70db0fa4,426,426,0,0,0,0.0,0,0.0,0,2,1,True,0,27922.5,27698.363129979676,1.0080920619376863,2.669133266749747,False
