target,file,file_name,rows,archives,instruments,bjd_min,bjd_max,rv_min,rv_max,has_activity,relative_file
HD 164595,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_164595_RV.csv,HD_164595_RV.csv,302,DACE_PUBLIC,DACE,2450650.4729,2458648.95185,-24.59,2132.76235504554,False,data/HD_164595_RV.csv
HD 216435,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_216435_RV.csv,HD_216435_RV.csv,300,DACE_PUBLIC,DACE,2447367.894,2459472.61107904,-1440.0,37.5,False,data/HD_216435_RV.csv
HD 147379,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_147379_RV.csv,HD_147379_RV.csv,298,DACE_PUBLIC,DACE,2454298.3872,2457825.60037,-19143.8,-18422.71,False,data/HD_147379_RV.csv
GJ 674,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_674_RV.csv,GJ_674_RV.csv,297,DACE_PUBLIC,DACE,2453158.75187,2459623.86490563,-2746.3,-2694.835972716,False,data/GJ_674_RV.csv
HD 212301,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_212301_RV.csv,HD_212301_RV.csv,296,DACE_PUBLIC,DACE,2452856.82311,2460161.9088745,4502.57352066656,28461.6667616732,False,data/HD_212301_RV.csv
HD 11977,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_11977_RV.csv,HD_11977_RV.csv,296,DACE_PUBLIC,DACE,2453334.53089606,2455086.90665464,-18052.3149612792,-17881.9497449449,False,data/HD_11977_RV.csv
HD 145934,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_145934_RV.csv,HD_145934_RV.csv,296,DACE_PUBLIC,DACE,2450605.96052,2458560.07547,-191.18,256.31,False,data/HD_145934_RV.csv
HD 4113,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_4113_RV.csv,HD_4113_RV.csv,295,DACE_PUBLIC,DACE,2447676.894,2457348.52535787,-110.1,5102.57725956712,False,data/HD_4113_RV.csv
GJ 806,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_806_RV.csv,GJ_806_RV.csv,295,DACE_PUBLIC,DACE,2447373.9097,2458385.96144,-24678.4,102.29,False,data/GJ_806_RV.csv
HD 8574,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_8574_RV.csv,HD_8574_RV.csv,294,DACE_PUBLIC,DACE,2450825.3036,2458777.07691,-67.0,19034.0,False,data/HD_8574_RV.csv
